# Length TreeSort SedimentSort LXSort
100000 827.13 1662.37 680.31
101000 771.93 1727.52 769.14
102000 714.71 1659.38 794.01
103000 782.42 1701.20 780.34
104000 777.04 1748.14 788.79
105000 788.40 1734.97 651.91
106000 811.50 1738.13 761.38
107000 812.30 1753.10 793.63
108000 768.16 1751.25 794.66
109000 794.12 1701.28 791.64
110000 830.10 1732.08 782.66
111000 776.48 1717.63 771.83
112000 777.84 1712.46 748.31
113000 802.40 1730.62 788.39
114000 753.33 1748.71 800.83
115000 777.37 1701.17 792.93
116000 793.88 1556.56 797.11
117000 784.61 1738.83 776.37
118000 805.08 1730.54 705.87
119000 791.94 1730.02 787.67
120000 738.50 1737.88 800.18
121000 820.69 1539.81 780.72
122000 797.38 1735.17 787.03
123000 796.74 1732.74 783.75
124000 802.41 1755.47 793.24
125000 803.20 1762.58 798.73
126000 787.97 1740.12 804.19
127000 812.54 1735.44 797.22
128000 808.73 1744.86 786.89
129000 788.96 1746.75 789.29
130000 802.38 1738.91 796.00
131000 788.16 1735.81 779.45
132000 815.23 1747.28 801.19
133000 806.05 1752.81 786.83
134000 792.97 1718.80 798.06
135000 811.56 1744.70 787.10
136000 756.31 1736.33 787.19
137000 815.56 1758.03 762.61
138000 819.37 1799.14 798.85
139000 827.54 1747.21 809.46
140000 809.45 1741.11 664.81
141000 844.71 1737.26 791.08
142000 809.42 1694.72 796.89
143000 813.51 1762.14 806.23
144000 846.89 1753.40 763.95
145000 813.87 1756.71 815.36
146000 788.67 1740.66 788.84
147000 842.90 1706.82 799.95
148000 821.39 1720.57 801.55
149000 821.64 1753.53 800.93
150000 824.16 1749.91 800.23
151000 712.08 1751.70 792.24
152000 819.13 1765.40 798.21
153000 811.15 1740.83 788.92
154000 835.80 1739.15 782.18
155000 841.06 1772.95 819.45
156000 754.67 1762.64 815.44
157000 837.66 1754.72 791.50
158000 831.56 1754.08 816.78
159000 822.78 1745.43 796.40
160000 826.88 1756.74 820.52
161000 831.23 1592.16 811.60
162000 643.91 1750.84 820.12
163000 844.68 1753.78 790.92
164000 817.51 1771.81 764.95
165000 840.55 1757.46 802.88
166000 670.26 1746.72 799.11
167000 841.94 1749.87 819.79
168000 839.78 1774.75 819.86
169000 843.34 1769.62 794.31
170000 839.47 1761.61 813.15
171000 848.36 1759.41 780.40
172000 841.47 1777.38 800.36
173000 803.87 1756.53 810.35
174000 862.21 1733.96 804.43
175000 859.97 1769.94 810.32
176000 694.55 1764.40 797.18
177000 840.74 1757.47 819.09
178000 844.12 1757.24 755.98
179000 854.38 1767.96 836.06
180000 807.92 1777.79 816.67
181000 870.18 1745.60 818.78
182000 856.91 1768.52 828.24
183000 721.25 1765.36 814.65
184000 850.34 1781.00 803.14
185000 886.55 1769.91 746.73
186000 859.25 1773.23 812.10
187000 841.66 1772.38 803.21
188000 718.37 1783.65 822.27
189000 879.02 1747.33 809.63
190000 773.97 1786.02 816.92
191000 875.21 1778.18 825.56
192000 865.75 1780.17 821.77
193000 891.25 1797.92 796.70
194000 868.46 1783.17 809.19
195000 834.95 1775.99 835.18
196000 885.24 1757.82 817.05
197000 869.02 1778.25 827.75
198000 876.46 1786.41 830.77
199000 884.88 1777.15 824.28
200000 878.35 1787.41 831.62
